Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,2013,32,2013-08-05,2013-08-11,7391,5321,0,67,203,0,6,276,7,2,15,24,300,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,33,2013-08-12,2013-08-18,7463,5544,0,72,261,0,3,336,8,0,32,40,376,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,34,2013-08-19,2013-08-25,7373,5711,0,56,191,0,1,248,9,3,17,29,277,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,35,2013-08-26,2013-09-01,7047,5219,0,54,227,0,1,282,8,2,21,31,313,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,36,2013-09-02,2013-09-08,7041,4831,0,53,274,0,5,332,14,2,39,55,387,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,37,2013-09-09,2013-09-15,7685,5701,0,59,427,0,0,486,20,7,53,80,566,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,38,2013-09-16,2013-09-22,7103,5111,0,44,398,0,0,442,27,1,62,90,532,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,39,2013-09-23,2013-09-29,7987,5936,0,33,340,0,3,376,30,6,66,102,478,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,40,2013-09-30,2013-10-06,6855,4931,0,21,268,0,3,292,25,0,47,72,364,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,41,2013-10-07,2013-10-13,9611,7858,0,50,283,0,1,334,33,2,50,85,419,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,42,2013-10-14,2013-10-20,9625,7874,0,46,217,0,3,266,30,1,63,94,360,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,43,2013-10-21,2013-10-27,9855,7321,0,53,181,0,6,240,14,0,88,102,342,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,44,2013-10-28,2013-11-03,10335,8313,0,97,215,0,8,320,44,2,86,132,452,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,45,2013-11-04,2013-11-10,10268,7365,0,92,221,0,5,318,21,6,115,142,460,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,46,2013-11-11,2013-11-17,10718,8711,0,166,258,0,2,426,90,5,144,239,665,,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2013,47,2013-11-18,2013-11-24,10899,8107,0,131,322,0,10,463,52,5,211,268,731,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,48,2013-11-25,2013-12-01,11744,9906,0,273,512,0,4,790,178,11,241,430,1220,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,49,2013-12-02,2013-12-08,12378,10069,0,349,710,0,2,1062,197,13,341,551,1613,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,50,2013-12-09,2013-12-15,12723,9987,0,511,844,0,7,1362,186,31,450,667,2029,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,51,2013-12-16,2013-12-22,12805,9571,0,647,1014,0,12,1673,117,16,592,725,2398,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2013,52,2013-12-23,2013-12-29,13752,11193,0,1238,1285,0,10,2534,346,23,655,1024,3558,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,1,2013-12-30,2014-01-05,13519,10751,0,1711,1240,0,6,2958,368,27,678,1073,4031,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,2,2014-01-06,2014-01-12,14397,10199,0,2067,1039,0,22,3130,276,46,810,1132,4262,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,3,2014-01-13,2014-01-19,14305,10756,0,2380,962,0,33,3381,355,35,823,1213,4594,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,4,2014-01-20,2014-01-26,14365,9621,0,2183,813,0,19,3015,149,29,897,1075,4090,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,5,2014-01-27,2014-02-02,11292,6575,0,1422,518,0,43,1984,173,44,613,830,2814,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,6,2014-02-03,2014-02-09,12248,8275,0,1583,520,0,8,2111,317,43,644,1004,3115,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,7,2014-02-10,2014-02-16,12919,9884,0,1510,429,0,9,1951,437,33,559,1029,2980,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,8,2014-02-17,2014-02-23,13371,9713,0,1372,424,0,5,1801,474,45,628,1147,2948,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,9,2014-02-24,2014-03-02,13666,10304,0,1263,423,0,4,1691,602,50,669,1321,3012,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,10,2014-03-03,2014-03-09,12813,9645,0,882,301,0,8,1192,503,54,672,1229,2421,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,11,2014-03-10,2014-03-16,12547,8715,0,549,268,0,2,819,346,34,801,1181,2000,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,12,2014-03-17,2014-03-23,12908,9853,0,479,211,0,0,691,548,52,676,1276,1967,,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,13,2014-03-24,2014-03-30,12431,8956,0,345,177,0,3,525,397,51,517,965,1490,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,14,2014-03-31,2014-04-06,9698,6403,0,194,123,0,3,321,186,26,400,612,933,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,15,2014-04-07,2014-04-13,9400,5909,0,137,119,0,4,261,185,19,275,479,740,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,16,2014-04-14,2014-04-20,9268,6491,0,110,104,0,1,217,181,8,164,353,570,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,17,2014-04-21,2014-04-27,8896,5941,0,55,101,0,10,167,153,6,153,312,479,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,18,2014-04-28,2014-05-04,8412,6026,0,37,127,0,3,169,153,6,108,267,436,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,19,2014-05-05,2014-05-11,8801,6514,0,30,169,0,2,201,109,9,81,199,400,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,20,2014-05-12,2014-05-18,8668,6269,0,30,197,0,1,228,69,5,89,163,391,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,21,2014-05-19,2014-05-25,8474,5549,0,11,190,0,2,203,56,4,88,148,351,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,22,2014-05-26,2014-06-01,8355,5273,0,18,288,0,1,307,49,1,64,114,421,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,23,2014-06-02,2014-06-08,8818,6523,0,15,475,0,7,497,82,1,44,127,624,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,24,2014-06-09,2014-06-15,9031,6549,0,27,722,0,2,751,69,3,29,101,852,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,25,2014-06-16,2014-06-22,8768,6104,0,10,639,0,0,649,62,3,45,110,759,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,26,2014-06-23,2014-06-29,8108,5313,0,16,735,0,1,752,34,2,45,81,833,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,27,2014-06-30,2014-07-06,8284,5373,0,5,842,0,6,853,17,1,35,53,906,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,28,2014-07-07,2014-07-13,9017,6937,0,11,1156,0,1,1168,42,3,15,60,1228,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,29,2014-07-14,2014-07-20,8691,6598,0,5,1257,0,1,1263,43,1,18,62,1325,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,30,2014-07-21,2014-07-27,8371,6369,0,4,1282,0,4,1290,27,1,28,56,1346,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,31,2014-07-28,2014-08-03,8112,5912,0,1,1221,0,11,1233,25,0,28,53,1286,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,32,2014-08-04,2014-08-10,8163,5450,0,1,997,0,5,1003,6,0,41,47,1050,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,33,2014-08-11,2014-08-17,7970,5502,0,4,976,0,8,988,16,0,43,59,1047,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,34,2014-08-18,2014-08-24,7955,5953,0,3,882,0,7,892,23,0,36,59,951,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,35,2014-08-25,2014-08-31,8060,6314,0,3,796,0,3,802,62,3,15,80,882,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,36,2014-09-01,2014-09-07,8624,6472,0,3,699,0,2,704,38,1,23,62,766,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,37,2014-09-08,2014-09-14,8558,6320,0,13,558,0,2,573,73,1,18,92,665,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,38,2014-09-15,2014-09-21,8560,5893,0,6,386,0,9,401,71,1,25,97,498,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,39,2014-09-22,2014-09-28,8709,5517,0,4,253,0,5,262,51,1,26,78,340,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,40,2014-09-29,2014-10-05,8862,6777,0,12,231,0,0,243,45,0,23,68,311,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,41,2014-10-06,2014-10-12,10941,8728,0,8,230,0,1,239,39,0,19,58,297,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,42,2014-10-13,2014-10-19,11641,8898,0,10,195,0,0,205,35,0,12,47,252,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,43,2014-10-20,2014-10-26,11561,8004,0,18,192,0,4,214,42,0,18,60,274,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,44,2014-10-27,2014-11-02,11926,9703,0,6,277,0,0,283,30,1,13,44,327,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,45,2014-11-03,2014-11-09,12154,9948,0,5,350,0,1,356,39,1,9,49,405,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2014,46,2014-11-10,2014-11-16,12026,9941,0,10,483,0,1,494,40,4,8,52,546,,Local Outbreak
